day,publishedAt,title,videoId,subscribers,chickens
1,2026-01-01T21:38:44Z,Minecraft Day 1,nJWUnY-KV3E,3,0
2,2026-01-02T21:00:12Z,NOOOOOOOOOOOO,GZSFja1AKxw,116,3
3,2026-01-03T22:40:52Z,I Got a Dog,ZWILltb9Ij8,1470,8
4,2026-01-04T16:00:32Z,DIAMONDS,HjCqCDMpTcI,1670,10
5,2026-01-05T16:01:22Z,My First Cave,lZlXp8fifa0,4690,12
6,2026-01-06T16:00:15Z,I'm Cooked,5wzuIt3F430,18700,16
7,2026-01-07T16:01:22Z,Chicken of the Week,lycV2Kj4Ajo,27600,20
8,2026-01-08T16:00:30Z,ENDERMAN,BS3lebLjM4g,34500,45
9,2026-01-09T16:00:21Z,I'm Leaving My Base,DJwDkDzmN8E,41400,93
10,2026-01-12T16:00:21Z,AXOLOTL,ErV6cS8FsNw,82000,100
11,2026-01-13T16:00:31Z,SO MUCH LOOT,CsaiY7zdgrw,137000,100
12,2026-01-14T16:00:04Z,The Industrial Revolution,aZfwVAn320w,171000,100
13,2026-01-15T16:00:19Z,"Yeah, I'm Cooked",7kT-q4HF7kg,185000,100
14,2026-01-16T16:01:29Z,My New Home,vVXnWl4RmE0,196000,100
15,2026-01-17T16:00:01Z,The Dispenser is Forming,-LVNK5ZEA-k,207000,110
16,2026-01-18T16:01:05Z,The Impossible Quest for String,eV8Jzife-t4,214000,110
17,2026-01-19T16:00:19Z,Chicken Farm: Unlocked,5mIl2jH-9a4,220000,100
18,2026-01-20T16:01:06Z,IT'S WORKING,fpDxD3G695I,223000,400
19,2026-01-21T16:00:05Z,Airport vlog,304rauuzFh4,228000,450
20,2026-01-22T16:00:55Z,My New Roommate,fKceTBeJB6w,231000,700
21,2026-01-23T16:01:22Z,This Is The End,o2HiwKSaWH4,234000,800
22,2026-01-24T16:01:24Z,We Have a Problem,v9n2wW5gd5Y,237000,1930
23,2026-01-25T16:01:03Z,Look What I Did To My Base!,gvQdMw8xKrU,241000,2200
24,2026-01-26T16:00:48Z,Should I Drink It?,YJKbSmRwQlc,243000,10000
25,2026-01-27T16:01:11Z,I Built an Axolotl Aquarium,lA_Y0hzTPkQ,245000,10000
26,2026-01-28T16:00:58Z,Enchantments: Unlocked,dxk8kT70Z60,245000,10000
27,2026-01-29T16:00:51Z,I'm Leaving City3000,TlX-dnR__3E,245000,10000
28,2026-01-30T16:00:18Z,Help! I’m Lost,E9mfDBY8E_Y,245000,10000
29,2026-01-31T16:00:27Z,My Longest Episode Ever,J0Pv2McwR0A,245000,10000
30,2026-02-01T20:11:46Z,I FOUND A VILLAGE!,6wvMEDAdM9k,265000,10000
31,2026-02-02T16:00:02Z,The Village Quest,0hQNMsHBUuU,267000,10000
32,2026-02-03T16:00:22Z,I Got a Horse,80-id2JRI8c,270000,11000
33,2026-02-04T16:00:01Z,Oh No,-DShUcEqL4s,271000,13000
34,2026-02-05T16:00:39Z,RAGE QUIT,N6yg8HqfhqA,272000,13500
